Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Atención;¿Cuántas letras "R" hay en: RRBRARRBRBRABRRARRB?;8;9;10;11;2;Contando cada R individualmente: RR-B-R-A-RR-B-R-B-R-A-B-RR-A-RR-B = 10 R.
Atención;¿Cuántas veces aparece el número 7 en la secuencia: 73587712749757787371?;7;8;9;10;2;El 7 aparece en las posiciones 1, 6, 7, 9, 12, 14, 15, 18, 20 = 9 veces.
Atención;¿Qué letra ocupa la posición 15 en: ABCDEFGHIJKLMNOPQRSTUVWXYZ?;M;N;Ñ;O;2;La posición 15 corresponde a la letra Ñ en el abecedario español completo.
Atención;En la serie: 122133211233121, ¿cuántos dígitos son iguales al siguiente?;3;4;5;6;1;El 1 (pos 1=1,pos2=2 no), 2(pos2=2,pos3=2 sí), 3(pos5=3,pos6=3 sí), 1(pos8=1,pos9=1 sí), 3(pos11=3,pos12=3 sí) = 4 veces.
Atención;¿Cuántos pares de letras consecutivas iguales hay en: AABBCCDDEEFFGG?;5;6;7;8;1;AA, BB, CC, DD, EE, FF, GG = 7 pares consecutivos iguales.
Atención;Si la palabra "RENFE" se escribe al revés, ¿qué letra ocupa la 3ª posición?;N;F;E;R;1;E-F-N-E-R, la 3ª letra es N.
Atención;¿Cuántas vocales hay en el texto: "El tren de las 8:30 llega puntual a Madrid"?;9;10;11;12;1;E(1)-e(2)-t-r-e(3)-n-d-t-r-e(4)-n-d-l-a(5)s-8:30-l-l-e(6)-g-a(7)-p-u(8)-n-t-u(9)-a(10)-l-a(11)-M-a(12)-d-r-i(13)-d. Contando bien: E-l t-r-e(3)-n d-e(4)-l-a(5)-s l-l-e(6)-g-a(7) p-u(8)-n-t-u(9)-a(10)-l-a(11) M-a(12)-d-r-i(13)-d = 13... La respuesta correcta es 10 contando solo a,e,i,o,u: E,e,e,e,a,a,u,u,a,a,i = más de 10. Recalculando: "El tren de las 8:30 llega puntual a Madrid" -> E,l,t,r,e,n,d,e,l,a,s,l,l,e,g,a,p,u,n,t,u,a,l,a,M,a,d,r,i,d -> E(1)e(2)e(3)e(4)a(5)a(6)u(7)u(8)a(9)a(10)i(11) = 11 vocales.
Atención;¿Cuántas cifras "3" aparecen escritas del 1 al 100?;19;20;21;22;1;Unidades: 3,13,23,33,43,53,63,73,83,93 = 10. Decenas: 30-39 = 10. Total = 20.
Atención;En la fila: A C D F G H J K L M N P Q R T V W Y, ¿cuántas letras faltan del abecedario completo?;6;7;8;9;2;Faltan: B, E, I, Ñ, O, S, U, X = 8 letras (si no contamos Ñ). Sin Ñ: B,E,I,O,S,U,X = 7.
Atención;¿Qué par de números es diferente a los demás?;12-12;13-13;14-15;15-15;2;14-15 no son iguales, el resto sí.
