Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Actividad Comercial;¿Cuál es el objeto social de Renfe Viajeros SME, S.A.?;Fabricación de material rodante y su venta internacional.;Prestación de servicios de transporte de viajeros por ferrocarril, nacional e internacional, y mediación en servicios turísticos.;Gestión exclusiva de la infraestructura ferroviaria de interés general.;Supervisión de la seguridad ferroviaria en el ámbito europeo.;1;Título Preliminar
Actividad Comercial;¿Bajo qué principio fundamental presta Renfe Viajeros el servicio de transporte de viajeros?;Principio de máxima rentabilidad económica.;Principio de exclusividad territorial.;Principio de seguridad.;Principio de gratuidad para servicios OSP.;2;Título Preliminar
Actividad Comercial;¿Cuál de los siguientes es un servicio ferroviario considerado comercial?;Servicios de Cercanías de ancho métrico.;Alta Velocidad-Media Distancia.;Trenes Turísticos.;Regionales de Catalunya.;2;Título II, Capítulo 3
Actividad Comercial;¿Quién define los servicios sujetos a Obligaciones de Servicio Público (OSP) que debe prestar Renfe en la RFIG?;El Ministerio de Hacienda.;El Acuerdo del Consejo de Ministros.;La Agencia Estatal de Seguridad Ferroviaria.;El Parlamento Europeo exclusivamente.;1;Título II, Capítulo 3
Actividad Comercial;¿Qué norma nacional regula el sector ferroviario mencionado en las condiciones generales?;Ley 38/2015.;Ley 16/1987.;Real Decreto 121/2024.;Ley 4/2020.;0;Título II, Capítulo 3 / Anexo II
Actividad Comercial;En servicios con asignación de plaza, ¿cuál de estos datos NO es obligatorio en el título de transporte?;Número de tren.;Número de coche y plaza.;El peso y volumen del equipaje admitido (o indicación de consulta).;El estado civil del viajero.;3;Título III, Capítulo 1
Actividad Comercial;¿Cómo se calculan los gastos de gestión en la venta de títulos de servicios comerciales?;Como un porcentaje sobre el precio del transporte o un importe fijo.;Siempre son un importe fijo de 5 euros.;Como una tasa variable según el peso del viajero.;Están prohibidos por el Reglamento del Sector Ferroviario.;0;Título III, Capítulo 3
Actividad Comercial;¿Cuáles son las formas de pago admitidas por Renfe Viajeros?;Metálico, tarjetas de crédito/débito, puntos de fidelización y otras reguladas.;Solo tarjetas de crédito y transferencia bancaria.;Únicamente efectivo y Bizum.;No se admite el pago en metálico en ningún canal.;0;Título III, Capítulo 4
Actividad Comercial;¿En qué estaciones el viajero tiene derecho a celebrar el contrato de transporte?;En todas las estaciones de la red, incluso si el tren no tiene parada.;Desde o hasta cualquiera de las estaciones en las que se reciban o apeen viajeros en el viaje contratado.;Solo en las estaciones cabeceras de línea.;Únicamente en estaciones con personal de taquilla físico.;1;Título III, Capítulo 5
Actividad Comercial;¿Qué obligación tiene el viajero respecto a mendigar o vender bienes en los trenes?;Solo puede hacerlo si es para fines benéficos.;Debe abstenerse de hacerlo sin autorización expresa previa y por escrito de Renfe Viajeros.;Se permite si no molesta al resto de los viajeros.;Está permitido únicamente en trenes de Cercanías.;1;Título III, Capítulo 6
