Categoria;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta Correcta;Explicación
Conocimientos Ferroviarios;1. Atendiendo a los elementos comunes del material rodante, ¿dónde se encuentra ubicada exactamente la suspensión secundaria en un vehículo ferroviario?;A) Entre los ejes montados y el bastidor del bogie.;B) Entre la caja del vehículo y el bastidor del bogie.;C) Directamente uniendo las ruedas con el patín del carril.;D) En el interior de las cajas de grasa.;B;Es una pregunta trampa clásica. La suspensión primaria se sitúa entre los ejes y el bogie, mientras que la secundaria es la que amortigua la caja del vehículo sobre el bogie.
Conocimientos Ferroviarios;2. En el esquema eléctrico de un material motor, ¿a qué grupo de consumidores pertenece el accionamiento eléctrico del compresor principal de aire?;A) Consumidores de alta tensión (tracción).;B) Consumidores de baja tensión alimentados directamente por batería.;C) Consumidores de la red de control y señalización.;D) Consumidores de media tensión (servicios auxiliares).;D;El compresor principal, fundamental para el freno y la suspensión neumática, no usa la alta tensión de los motores ni los 24/110V de la batería, sino media tensión generada por los convertidores de servicios auxiliares.
Conocimientos Ferroviarios;3. En una locomotora con 'transmisión diésel-eléctrica', ¿cuál es la función estricta del motor diésel?;A) Transmitir el movimiento rotativo de salida directamente a los ejes mediante engranajes.;B) Actuar exclusivamente como generador de energía eléctrica, sin transmitir movimiento a los ejes.;C) Proporcionar energía mediante un convertidor de par hidrodinámico.;D) Alimentar la tracción mientras el pantógrafo alimenta los servicios auxiliares.;B;"A diferencia de la diésel-hidráulica, en la diésel-eléctrica el motor de gasoil solo mueve un alternador para crear electricidad; son los motores de tracción (eléctricos) los que realmente mueven las ruedas."
Conocimientos Ferroviarios;4. Como norma general, durante la circulación en plena vía de una locomotora eléctrica equipada con dos pantógrafos, ¿cuál es su configuración operativa habitual?;A) Circular siempre con ambos pantógrafos elevados.;B) Circular exclusivamente con el pantógrafo delantero elevado.;C) Circular con el pantógrafo trasero elevado.;D) Alternar los pantógrafos en cada cantón de bloqueo.;C;Para evitar que, en caso de rotura o enganchón, el pantógrafo averiado dañe al otro al caer hacia atrás, los trenes circulan normalmente con el pantógrafo trasero elevado.
Conocimientos Ferroviarios;5. Según la clasificación del Número de Vehículo Europeo (NVE) en la RFIG, si observamos una unidad cuya serie comienza por un '2' (ej. 252 o 253), sabemos que se trata de:;A) Un automotor diésel.;B) Un automotor eléctrico de alta velocidad.;C) Una locomotora diésel.;D) Una locomotora eléctrica.;D;Las series 100 son automotores eléctricos de alta velocidad, las 200 son locomotoras eléctricas, las 300 locomotoras diésel, las 400 automotores eléctricos y las 500 automotores diésel.
Conocimientos Ferroviarios;6. En relación con el freno automático por aire comprimido, ¿qué condición se requiere en la Tubería del Freno Automático (TFA) para que los frenos aflojen y el tren pueda circular?;A) Que la tubería esté completamente vacía (0 kg/cm2).;B) Que esté presurizada al valor de régimen, habitualmente 5 kg/cm2.;C) Que alcance presiones hidráulicas superiores a 10 kg/cm2.;D) Que se haya inyectado arena a presión en la tubería.;B;El freno es 'automático' porque frena ante la falta de aire (por rotura del tubo o alarma). Por tanto, para poder aflojar frenos y circular, la TFA debe estar cargada y mantenida a 5 kg/cm2.
Conocimientos Ferroviarios;7. ¿Cuál es el principal inconveniente o limitación de los frenos dinámicos (electrodinámico e hidrodinámico) utilizados como frenos complementarios?;A) Van perdiendo eficacia de manera proporcional a la disminución de la velocidad.;B) Solo funcionan si el tren está completamente detenido.;C) Consumen una enorme cantidad de aire del depósito principal.;D) Provocan el desgaste prematuro de las zapatas de freno.;A;Los frenos dinámicos son muy potentes a altas velocidades, pero al basarse en el giro de los motores o convertidores, pierden eficacia a baja velocidad, necesitando siempre el freno neumático para la detención total.
Conocimientos Ferroviarios;8. El freno de estacionamiento por 'resorte acumulador' garantiza que un vehículo se mantenga inmovilizado porque:;A) Utiliza baterías eléctricas de emergencia.;B) Su timonería es accionada por la fuerza de un muelle en reposo, cuando no hay energía o presión.;C) Es el único freno que aplica cuñas manuales sobre los carriles.;D) Absorve la presión de los depósitos principales para mantener la tensión.;B;La trampa típica. El resorte (muelle) siempre quiere frenar el tren. Cuando hay aire comprimido, este vence al muelle y afloja el freno. Al apagar el tren o quitar el aire, el muelle se estira y frena el tren automáticamente sin necesidad de energía.
Conocimientos Ferroviarios;9. ¿Qué tipo de enganche permite realizar la conexión mecánica, eléctrica y neumática de forma simultánea e inteligente con solo aproximar los vehículos, siendo muy común en automotores?;A) Enganche de husillo.;B) Enganche UIC convencional.;C) Enganche Scharfenberg.;D) Enganche de socorro.;C;Mientras el enganche convencional/UIC requiere que un operario baje a la vía a conectar los ganchos y mangueras, el enganche automático (como el Scharfenberg) acopla todos los sistemas automáticamente al chocar.
Conocimientos Ferroviarios;10. ¿Cuál es la diferencia fundamental en la explotación ferroviaria entre un 'Coche' y un 'Automotor'?;A) El coche es para mercancías y el automotor para viajeros.;B) El automotor es un vehículo indeformable con tracción propia, mientras que el coche carece de tracción y necesita ser remolcado.;C) El coche se utiliza en alta velocidad y el automotor en redes de ancho métrico.;D) El automotor siempre es dual, mientras el coche es eléctrico.;B;Material motor vs Material remolcado. El automotor (tren autopropulsado) lleva los motores integrados y se mueve solo. El coche, aunque lleva viajeros, forma parte del material remolcado y necesita una locomotora.
Conocimientos Ferroviarios;1. Si se produce un fallo técnico en un sistema de detección de trenes, ¿qué estado debe interpretar y asumir el sistema para garantizar la seguridad?;A) Cantón libre para no detener el tráfico y asegurar la eficiencia operativa.;B) Cantón en mantenimiento preventivo.;C) Cantón ocupado, aplicando el principio fundamental de máxima seguridad.;D) Condición de precaución a 30 km/h y marcha a la vista.;C;En caso de fallo en el sistema de detección, este debe interpretar siempre la condición más segura, es decir, considerar el cantón como ocupado [8, 9].
Conocimientos Ferroviarios;2. ¿Cuál de las siguientes afirmaciones describe de manera exacta la diferencia funcional entre los sistemas de enclavamiento y de bloqueo?;A) El enclavamiento gestiona la separación entre trenes en plena vía, mientras el bloqueo regula los itinerarios en las estaciones.;B) El enclavamiento permite establecer itinerarios seguros en el interior de las estaciones, y el bloqueo garantiza la separación segura entre trenes en los trayectos entre estaciones.;C) El enclavamiento es exclusivo de las líneas de alta velocidad y el bloqueo de la red convencional.;D) El bloqueo actúa mecánicamente sobre las agujas y el enclavamiento actúa sobre los circuitos de vía.;B;Comparando ambos sistemas, podría decirse que el enclavamiento permite establecer rutas seguras en el interior de las estaciones, y el bloqueo garantiza la distancia entre trenes entre estaciones [10, 11].
Conocimientos Ferroviarios;3. Según los principios básicos que rigen un enclavamiento, ¿qué condición es indispensable para que una señal autorice un movimiento?;A) Que el Maquinista confirme la recepción de la orden por radiotelefonía al Centro de Regulación.;B) Que el tren cuente con el sistema ETCS Nivel 2 activo en modo pleno.;C) Que los aparatos de vía (agujas) implicados en la ruta se encuentren en su posición correcta.;D) Que el Centro de Regulación de la Circulación (CRC) desactive el bloqueo temporalmente.;C;El primer principio básico establece que ninguna señal puede autorizar un movimiento en una estación si los aparatos de vía (agujas) no están fijados en su posición correcta [12].
