Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Numérico;Un padre tiene 40 años y su hijo 10. ¿Dentro de cuántos años la edad del padre será el triple que la del hijo?;5 años;10 años;15 años;20 años;0;Dentro de 5 años: 45 y 15. 45 es el triple de 15.
Numérico;¿Qué número es el 20% del 30% de 500?;20;30;45;60;1;0.30*500=150. 0.20*150=30.
Numérico;Un tren recorre 120 km en 40 minutos. ¿Cuál es su velocidad en km/h?;160 km/h;180 km/h;200 km/h;150 km/h;1;120km en 2/3 de hora = 120 * 1.5 = 180 km/h.
Numérico;¿Cuál es el resultado de: 2 + 2 * 2 / 2 - 2?;0;1;2;4;2;Orden: 2*2=4, 4/2=2, 2+2=4, 4-2=2.
Numérico;Un grifo llena un depósito de 1000L en 5h. ¿Cuántos litros por minuto arroja?;2.5L/min;3.3L/min;4L/min;5L/min;1;1000L / 300 min = 3.33 L/min.
Numérico;Si 5 máquinas hacen 5 artículos en 5 minutos, ¿cuánto tardan 100 máquinas en hacer 100 artículos?;100 min;50 min;5 min;1 min;2;Cada máquina tarda 5 min por artículo.
Numérico;¿Qué número sigue la serie: 7, 14, 28, 56...?;112;120;100;98;0;Multiplicación por 2.
Numérico;Repartir 120€ de forma inversamente proporcional a 2 y 3. ¿Cuánto le toca al de 2?;48€;72€;60€;80€;1;K/2 + K/3 = 120 -> 5K/6=120 -> K=144. 144/2=72.
Numérico;El precio de un artículo sube un 10% y luego baja un 10%. El precio final es:;Igual al inicial;Un 1% menor;Un 1% mayor;Un 2% menor;1;100 -> 110 -> 99. Es un 1% menos.
Numérico;En una granja hay 20 animales entre gallinas y conejos. Hay 50 patas en total. ¿Cuántos conejos hay?;5;10;15;8;0;5*4 + 15*2 = 20+30=50 patas.
Numérico;¿Qué número falta: 15 (30) 2, 10 (?) 5?;20;50;40;15;1;15 * 2 = 30. 10 * 5 = 50.
Numérico;Si 1/3 de x es 20, ¿cuánto es el doble de x?;40;60;120;80;2;x=60. El doble es 120.
Numérico;¿Cuántos números primos hay entre 1 y 10?;3;4;5;2;1;Son 2, 3, 5, 7.
Numérico;Un ciclista sube un puerto a 10 km/h y baja a 30 km/h. La velocidad media es:;20 km/h;15 km/h;25 km/h;18 km/h;1;Media armónica: 2*10*30/(10+30) = 600/40 = 15.
Numérico;¿Qué número es mayor: 3/4, 0.7, 4/5 o 2/3?;3/4;0.7;4/5;2/3;2;4/5 es 0.8, el mayor.
Numérico;Completa: 1, 4, 9, 16, ...;20;25;36;30;1;Cuadrados perfectos (1², 2², 3², 4², 5²).
Numérico;Un reloj se adelanta 2 min cada hora. Si se pone en hora a las 12:00, ¿qué hora marcará a las 18:00?;18:10;18:12;18:06;18:20;1;6 horas * 2 min = 12 min de adelanto.
Numérico;Suma de los ángulos de un triángulo:;90º;180º;270º;360º;1;Siempre 180º.
Numérico;Si ayer fue martes, ¿qué día será dentro de 10 días?;Viernes;Sábado;Domingo;Lunes;1;Ayer martes -> hoy miércoles. Miércoles + 10 días = Miércoles + 3 días = Sábado.
